Land extent (Sq.M),Zone factor = 3.75 - 4.0,,,,Zone factor = 2.75-2.99,,,,UL – Unlimited
,**6m ,9m ,12m,15m or above,**6m ,9m ,12m,15m or above,Floor area allocated for parking facilities are not calculated for FAR
150 less than 250,3,3.4,3.6,4.0,3.0,3.4,3.6,4.0,Above Floor Area Ratio shall not be applicable for the zones
250 less than 375,3.5,4.8,5.0,5.5,3.5,5.0,5.0,5.5,where number of floors or FAR indicated under the zoning regulations
375 less than 500,3.6,5.0,5.2,6.0,3.6,5.4,5.2,6.0,Above Permissible FAR may be restricted under the
500 less than 750,3.8,5.5,5.5,6.5,4.0,5.7,5.5,6.5,development plan based on the slope of the land
750 less than 1000,4,5.6,7.5,8.0,4.5,6.0,7.5,8.0,Clearance shall be taken from National Building Research
1000 less than 1500,4.2,5.8,8.0,9.0,4.5,6.5,8.0,9.0,Organization for the lands having slope more than 110
1500 less than 2000,4.2,6.0,8.0,*11 ,4.5,7.0,8.0,*11,* FAR more than or equal to 10.0 shall be permitted only for
2000 less than 2500,4.2,6.2,8.0,*11.5 ,4.5,7.0,8.0,*12,the roads having minimum of 12m (from road center)
2500 less than 3000,4.2,6.4,8.0,*12,4.5,7.0,8.0,*12,"Building Line, if not maximum FAR shall be limited to 9.0"
3000 less than 3500,4.2,6.5,8.0,*12 ,4.5,7.0,8.0,*12,**Minimum road width of 7m shall be considedrd for the
3500 less than 4000,4.2,6.5,8.0,*12 ,4.5,7.0,8.0,*12,roads identified as 7 m wide in the particular Development
More than 4000,4.2,6.5,8.0,*UL ,4.5,7.0,8.0,*UL,Plans
